cylinders,displacement,horsepower,weight,acceleration,model year,origin,mpg
4,97.0,88.0,2130.0,14.5,71,3,27.0
8,351.0,138.0,3955.0,13.2,79,1,16.5
8,260.0,110.0,3365.0,15.5,78,1,19.9
6,231.0,110.0,3907.0,21.0,75,1,17.0
6,225.0,95.0,3785.0,19.0,75,1,18.0
6,225.0,85.0,3465.0,16.6,81,1,17.6
8,302.0,140.0,3449.0,10.5,70,1,17.0
6,250.0,72.0,3432.0,21.0,75,1,15.0
4,98.0,79.0,2255.0,17.7,76,1,26.0
4,120.0,88.0,2160.0,14.5,82,3,36.0
8,350.0,160.0,4456.0,13.5,72,1,12.0
4,91.0,69.0,2130.0,14.7,79,2,37.3
4,97.0,54.0,2254.0,23.5,72,2,23.0
8,302.0,140.0,4638.0,16.0,74,1,14.0
6,232.0,100.0,2945.0,16.0,73,1,18.0
4,85.0,70.0,1945.0,16.8,77,3,33.5
6,200.0,81.0,3012.0,17.6,76,1,24.0
6,250.0,105.0,3897.0,18.5,75,1,16.0
4,122.0,86.0,2226.0,16.5,72,1,21.0
8,350.0,170.0,4165.0,11.4,77,1,15.5
6,258.0,110.0,2962.0,13.5,71,1,18.0
4,97.0,52.0,2130.0,24.6,82,2,44.0
4,91.0,53.0,1795.0,17.4,76,3,33.0
4,140.0,72.0,2401.0,19.5,73,1,21.0
6,232.0,100.0,2914.0,16.0,75,1,20.0
4,72.0,69.0,1613.0,18.0,71,3,35.0
8,318.0,150.0,4457.0,13.5,74,1,14.0
4,140.0,88.0,2720.0,15.4,78,1,25.1
6,173.0,110.0,2725.0,12.6,81,1,23.5
4,121.0,80.0,2670.0,15.0,79,1,27.4
6,225.0,100.0,3630.0,17.7,77,1,19.0
8,305.0,145.0,3880.0,12.5,77,1,17.5
6,250.0,110.0,3520.0,16.4,77,1,17.5
4,91.0,67.0,1965.0,15.7,82,3,32.0
4,140.0,72.0,2408.0,19.0,71,1,22.0
8,307.0,130.0,3504.0,12.0,70,1,18.0
8,400.0,180.0,4220.0,11.1,77,1,16.0
4,97.0,78.0,1940.0,14.5,77,2,29.0
4,96.0,69.0,2189.0,18.0,72,2,26.0
6,168.0,116.0,2900.0,12.6,81,3,25.4
8,260.0,90.0,3420.0,22.2,79,1,23.9
8,350.0,105.0,3725.0,19.0,81,1,26.6
6,168.0,132.0,2910.0,11.4,80,3,32.7
8,302.0,139.0,3570.0,12.8,78,1,20.2
6,225.0,105.0,3613.0,16.5,74,1,18.0
4,122.0,86.0,2220.0,14.0,71,1,23.0
8,350.0,145.0,4082.0,13.0,73,1,15.0
4,151.0,90.0,2556.0,13.2,79,1,33.5
6,232.0,100.0,2634.0,13.0,71,1,19.0
8,400.0,175.0,4385.0,12.0,72,1,14.0
3,70.0,97.0,2330.0,13.5,72,3,19.0
8,454.0,220.0,4354.0,9.0,70,1,14.0
4,108.0,93.0,2391.0,15.5,74,3,26.0
4,151.0,90.0,2735.0,18.0,82,1,27.0
4,134.0,95.0,2560.0,14.2,78,3,27.5
4,151.0,85.0,2855.0,17.6,78,1,23.8
6,250.0,100.0,3282.0,15.0,71,1,19.0
8,304.0,193.0,4732.0,18.5,70,1,9.0
6,200.0,85.0,2587.0,16.0,70,1,21.0
8,400.0,190.0,4422.0,12.5,72,1,13.0
8,350.0,150.0,4699.0,14.5,74,1,13.0
6,231.0,110.0,3415.0,15.8,81,1,22.4
8,350.0,180.0,4499.0,12.5,73,1,12.0
4,113.0,95.0,2372.0,15.0,70,3,24.0
8,318.0,150.0,3436.0,11.0,70,1,18.0
6,198.0,95.0,3102.0,16.5,74,1,20.0
4,98.0,60.0,2164.0,22.1,76,1,24.5
4,98.0,80.0,1915.0,14.4,79,1,35.7
8,400.0,175.0,4464.0,11.5,71,1,14.0
4,90.0,71.0,2223.0,16.5,75,2,25.0
6,225.0,100.0,3430.0,17.2,78,1,20.5
4,122.0,86.0,2395.0,16.0,72,1,22.0
4,105.0,63.0,2125.0,14.7,82,1,38.0
4,105.0,74.0,2190.0,14.2,81,2,33.0
5,183.0,77.0,3530.0,20.1,79,2,25.4
4,90.0,48.0,1985.0,21.5,78,2,43.1
4,120.0,74.0,2635.0,18.3,81,3,31.6
4,156.0,105.0,2745.0,16.7,78,1,23.2
8,400.0,230.0,4278.0,9.5,73,1,16.0
6,181.0,110.0,2945.0,16.4,82,1,25.0
6,200.0,88.0,3060.0,17.1,81,1,20.2
4,134.0,90.0,2711.0,15.5,80,3,29.8
6,232.0,112.0,2835.0,14.7,82,1,22.0
6,163.0,133.0,3410.0,15.8,78,2,16.2
8,350.0,180.0,4380.0,12.1,76,1,16.5
4,105.0,70.0,2200.0,13.2,79,1,34.2
6,200.0,95.0,3155.0,18.2,78,1,20.5
4,91.0,68.0,1970.0,17.6,82,3,31.0
6,250.0,98.0,3525.0,19.0,77,1,18.5
4,86.0,65.0,2110.0,17.9,80,3,46.6
4,86.0,65.0,1975.0,15.2,79,3,34.1
6,232.0,100.0,2901.0,16.0,74,1,19.0
8,400.0,170.0,4746.0,12.0,71,1,13.0
8,383.0,170.0,3563.0,10.0,70,1,15.0
4,97.0,75.0,2155.0,16.4,76,3,28.0
4,107.0,90.0,2430.0,14.5,70,2,24.0
6,156.0,122.0,2807.0,13.5,73,3,20.0
4,121.0,112.0,2868.0,15.5,73,2,19.0
6,232.0,100.0,3288.0,15.5,71,1,18.0
4,130.0,102.0,3150.0,15.7,76,2,20.0
4,86.0,64.0,1875.0,16.4,81,1,39.0
8,455.0,225.0,4425.0,10.0,70,1,14.0
4,112.0,88.0,2640.0,18.6,82,1,27.0
8,400.0,150.0,3761.0,9.5,70,1,15.0
4,85.0,65.0,2110.0,19.2,80,3,40.8
4,68.0,49.0,1867.0,19.5,73,2,29.0
3,70.0,90.0,2124.0,13.5,73,3,18.0
4,120.0,79.0,2625.0,18.6,82,1,28.0
6,225.0,95.0,3264.0,16.0,75,1,19.0
8,350.0,145.0,3988.0,13.0,73,1,13.0
6,250.0,105.0,3459.0,16.0,75,1,18.0
4,98.0,68.0,2155.0,16.5,78,1,30.0
4,98.0,65.0,2380.0,20.7,81,1,29.9
6,173.0,115.0,2595.0,11.3,79,1,28.8
4,111.0,80.0,2155.0,14.8,77,1,30.0
4,81.0,60.0,1760.0,16.1,81,3,35.1
4,121.0,76.0,2511.0,18.0,72,2,22.0
4,105.0,75.0,2230.0,14.5,78,1,30.9
4,119.0,97.0,2405.0,14.9,78,3,23.9
4,121.0,110.0,2660.0,14.0,73,2,24.0
4,98.0,63.0,2051.0,17.0,77,1,30.5
8,318.0,150.0,4135.0,13.5,72,1,15.0
4,119.0,97.0,2545.0,17.0,75,3,24.0
8,390.0,190.0,3850.0,8.5,70,1,15.0
6,250.0,78.0,3574.0,21.0,76,1,18.0
4,119.0,97.0,2300.0,14.7,78,3,27.2
4,121.0,98.0,2945.0,14.5,75,2,22.0
8,360.0,175.0,3821.0,11.0,73,1,13.0
6,232.0,100.0,2789.0,15.0,73,1,18.0
6,232.0,90.0,3265.0,18.2,79,1,20.2
8,400.0,175.0,5140.0,12.0,71,1,13.0
4,91.0,67.0,1995.0,16.2,82,3,38.0
8,350.0,165.0,4274.0,12.0,72,1,13.0
6,250.0,88.0,3139.0,14.5,71,1,18.0
8,262.0,110.0,3221.0,13.5,75,1,20.0
4,134.0,96.0,2702.0,13.5,75,3,24.0
8,318.0,135.0,3830.0,15.2,79,1,18.2
8,351.0,153.0,4154.0,13.5,71,1,14.0
4,134.0,95.0,2515.0,14.8,78,3,21.1
6,145.0,76.0,3160.0,19.6,81,2,30.7
4,97.0,46.0,1835.0,20.5,70,2,26.0
4,97.0,78.0,2190.0,14.1,77,2,30.5
8,351.0,142.0,4054.0,14.3,79,1,15.5
4,97.0,60.0,1834.0,19.0,71,2,27.0
4,108.0,75.0,2350.0,16.8,81,3,32.4
6,258.0,110.0,3632.0,18.0,74,1,16.0
8,304.0,150.0,3892.0,12.5,72,1,15.0
6,258.0,120.0,3410.0,15.1,78,1,18.1
8,318.0,150.0,4096.0,13.0,71,1,14.0
4,86.0,65.0,2019.0,16.4,80,3,37.2
4,97.0,75.0,2171.0,16.0,75,3,29.0
6,163.0,125.0,3140.0,13.6,78,2,17.0
4,110.0,87.0,2672.0,17.5,70,2,25.0
4,79.0,67.0,1950.0,19.0,74,3,31.0
4,90.0,75.0,2108.0,15.5,74,2,24.0
8,307.0,130.0,4098.0,14.0,72,1,13.0
4,113.0,95.0,2228.0,14.0,71,3,25.0
4,97.0,92.0,2288.0,17.0,72,3,28.0
4,89.0,71.0,1990.0,14.9,78,2,31.5
6,231.0,110.0,3039.0,15.0,75,1,21.0
8,302.0,140.0,4141.0,14.0,74,1,16.0
5,131.0,103.0,2830.0,15.9,78,2,20.3
6,232.0,90.0,3085.0,17.6,76,1,22.5
8,302.0,130.0,3870.0,15.0,76,1,13.0
4,97.0,71.0,1825.0,12.2,76,2,29.5
4,91.0,67.0,1965.0,15.0,82,3,38.0
4,97.0,88.0,2100.0,16.5,72,3,27.0
8,400.0,167.0,4906.0,12.5,73,1,12.0
4,97.0,75.0,2265.0,18.2,77,3,26.0
4,113.0,95.0,2278.0,15.5,72,3,24.0
8,318.0,145.0,4140.0,13.7,77,1,15.5
6,146.0,120.0,2930.0,13.8,81,3,24.2
8,302.0,140.0,4294.0,16.0,72,1,13.0
8,318.0,150.0,3777.0,12.5,73,1,15.0
6,200.0,85.0,2965.0,15.8,78,1,20.2
4,91.0,70.0,1955.0,20.5,71,1,26.0
6,225.0,105.0,3439.0,15.5,71,1,16.0
6,250.0,88.0,3302.0,15.5,71,1,19.0
4,97.0,88.0,2130.0,14.5,70,3,27.0
4,98.0,68.0,2135.0,16.6,78,3,29.5
4,105.0,74.0,1980.0,15.3,82,2,36.0
6,225.0,110.0,3360.0,16.6,79,1,20.6
4,91.0,60.0,1800.0,16.4,78,3,36.1
8,440.0,215.0,4735.0,11.0,73,1,13.0
4,79.0,67.0,1963.0,15.5,74,2,26.0
4,151.0,90.0,2678.0,16.5,80,1,28.0
4,156.0,92.0,2620.0,14.4,81,1,25.8
6,198.0,95.0,2833.0,15.5,70,1,22.0
4,122.0,80.0,2451.0,16.5,74,1,26.0
8,429.0,208.0,4633.0,11.0,72,1,11.0
8,318.0,150.0,3940.0,13.2,76,1,13.0
4,140.0,88.0,2870.0,18.1,80,1,26.4
8,400.0,170.0,4668.0,11.5,75,1,16.0
8,383.0,180.0,4955.0,11.5,71,1,12.0
6,231.0,105.0,3425.0,16.9,77,1,20.5
8,305.0,130.0,3840.0,15.4,79,1,17.0
4,122.0,85.0,2310.0,18.5,73,1,19.0
8,350.0,145.0,4440.0,14.0,75,1,15.0
4,114.0,91.0,2582.0,14.0,73,2,20.0
4,85.0,70.0,2070.0,18.6,78,3,39.4
4,119.0,92.0,2434.0,15.0,80,3,37.0
4,85.0,70.0,1990.0,17.0,76,3,32.0
8,302.0,137.0,4042.0,14.5,73,1,14.0
6,171.0,97.0,2984.0,14.5,75,1,18.0
3,80.0,110.0,2720.0,13.5,77,3,21.5
6,155.0,107.0,2472.0,14.0,73,1,21.0
4,116.0,81.0,2220.0,16.9,76,2,25.0
4,108.0,75.0,2265.0,15.2,80,3,32.2
4,98.0,70.0,2125.0,17.3,82,1,36.0
8,350.0,175.0,4100.0,13.0,73,1,13.0
4,151.0,88.0,2740.0,16.0,77,1,24.5
8,350.0,145.0,4055.0,12.0,76,1,13.0
4,97.0,46.0,1950.0,21.0,73,2,26.0
8,304.0,150.0,3433.0,12.0,70,1,16.0
4,83.0,61.0,2003.0,19.0,74,3,32.0
4,121.0,115.0,2671.0,13.5,75,2,25.0
8,305.0,145.0,3425.0,13.2,78,1,19.2
8,318.0,210.0,4382.0,13.5,70,1,11.0
4,71.0,65.0,1836.0,21.0,74,3,32.0
4,151.0,84.0,2635.0,16.4,81,1,26.6
4,90.0,48.0,2335.0,23.7,80,2,43.4
4,121.0,115.0,2795.0,15.7,78,2,21.6
4,140.0,92.0,2572.0,14.9,76,1,25.0
4,108.0,94.0,2379.0,16.5,73,3,22.0
8,429.0,198.0,4341.0,10.0,70,1,15.0
8,350.0,165.0,4209.0,12.0,71,1,14.0
6,198.0,95.0,2904.0,16.0,73,1,23.0
4,112.0,85.0,2575.0,16.2,82,1,31.0
4,79.0,58.0,1755.0,16.9,81,3,39.1
4,140.0,89.0,2755.0,15.8,77,1,25.5
4,79.0,58.0,1825.0,18.6,77,2,36.0
6,225.0,100.0,3233.0,15.4,76,1,22.0
6,200.0,85.0,2990.0,18.2,79,1,19.8
4,76.0,52.0,1649.0,16.5,74,3,31.0
8,440.0,215.0,4312.0,8.5,70,1,14.0
4,144.0,96.0,2665.0,13.9,82,3,32.0
4,107.0,75.0,2205.0,14.5,82,3,36.0
4,112.0,88.0,2395.0,18.0,82,1,34.0
4,119.0,82.0,2720.0,19.4,82,1,31.0
8,350.0,155.0,4360.0,14.9,79,1,16.9
4,107.0,72.0,2290.0,17.0,80,3,32.4
4,140.0,72.0,2565.0,13.6,76,1,26.5
4,85.0,65.0,2020.0,19.2,79,3,31.8
4,105.0,63.0,2215.0,14.9,81,1,34.7
4,97.0,88.0,2279.0,19.0,73,3,20.0
6,168.0,120.0,3820.0,16.7,76,2,16.5
6,250.0,100.0,3278.0,18.0,73,1,16.0
4,119.0,100.0,2615.0,14.8,81,3,32.9
8,260.0,110.0,4060.0,19.0,77,1,17.0
8,455.0,225.0,3086.0,10.0,70,1,14.0
